Time	Node	Type	Packets	
193.5	RouterNet	CacheMisses	129
194	RouterNet	CacheHits	0
194	RouterNet	CacheMisses	132
194.5	RouterNet	CacheHits	0
194.5	RouterNet	CacheMisses	130
195	RouterNet	CacheHits	0
195	RouterNet	CacheMisses	132
195.5	RouterNet	CacheHits	0
195.5	RouterNet	CacheMisses	131
196	RouterNet	CacheHits	0
196	RouterNet	CacheMisses	137
196.5	RouterNet	CacheHits	0
196.5	RouterNet	CacheMisses	135
197	RouterNet	CacheHits	0
197	RouterNet	CacheMisses	134
197.5	RouterNet	CacheHits	0
197.5	RouterNet	CacheMisses	135
198	RouterNet	CacheHits	0
198	RouterNet	CacheMisses	137
198.5	RouterNet	CacheHits	0
198.5	RouterNet	CacheMisses	136
